X,Y,Z,Temp_degC,Well
703926.78,3558491.55,950.28,143.8,45-7
703926.77,3558491.53,949.35,143.9,45-7
703926.76,3558491.51,948.42,144.1,45-7
703926.75,3558491.5,947.49,144.2,45-7
703926.74,3558491.48,946.56,144.4,45-7
703926.73,3558491.46,945.63,144.5,45-7
703926.72,3558491.45,944.7,144.7,45-7
703926.71,3558491.43,943.77,144.8,45-7
703926.7,3558491.41,942.84,144.9,45-7
703926.69,3558491.4,941.92,145.1,45-7
703926.67,3558491.38,940.99,145.2,45-7
703926.66,3558491.36,940.06,145.3,45-7
703926.65,3558491.34,939.13,145.4,45-7
703926.64,3558491.33,938.2,145.6,45-7
703926.63,3558491.31,937.27,145.7,45-7
703926.62,3558491.29,936.34,145.8,45-7
703926.61,3558491.27,935.41,145.9,45-7
703926.6,3558491.25,934.48,146.0,45-7
703926.59,3558491.24,933.55,146.1,45-7
703926.57,3558491.22,932.62,146.3,45-7
703926.56,3558491.2,931.69,146.4,45-7
703926.55,3558491.18,930.76,146.5,45-7
703926.54,3558491.16,929.83,146.6,45-7
703926.53,3558491.14,928.9,146.7,45-7
703926.52,3558491.12,927.97,146.8,45-7
703926.51,3558491.11,927.04,146.9,45-7
703926.49,3558491.09,926.11,147.0,45-7
703926.48,3558491.07,925.18,147.1,45-7
703926.47,3558491.05,924.25,147.2,45-7
703926.46,3558491.03,923.32,147.3,45-7
703926.45,3558491.01,922.39,147.3,45-7
703926.44,3558490.99,921.46,147.4,45-7
703926.42,3558490.97,920.53,147.5,45-7
703926.41,3558490.95,919.6,147.6,45-7
703926.4,3558490.93,918.67,147.7,45-7
703926.39,3558490.91,917.74,147.8,45-7
703926.38,3558490.89,916.81,147.9,45-7
703926.37,3558490.87,915.88,148.0,45-7
703926.36,3558490.85,914.95,148.1,45-7
703926.34,3558490.83,914.02,148.2,45-7
703926.33,3558490.81,913.09,148.3,45-7
703926.32,3558490.78,912.16,148.3,45-7
703926.31,3558490.76,911.23,148.4,45-7
703926.3,3558490.74,910.3,148.5,45-7
703926.3,3558490.72,909.37,148.6,45-7
703926.29,3558490.7,908.44,148.7,45-7
703926.28,3558490.68,907.52,148.7,45-7
703926.27,3558490.66,906.59,148.8,45-7
703926.26,3558490.64,905.66,148.9,45-7
703926.26,3558490.61,904.73,148.9,45-7
703926.25,3558490.59,903.8,149.0,45-7
703926.24,3558490.57,902.87,149.1,45-7
703926.24,3558490.55,901.94,149.1,45-7
703926.23,3558490.53,901.01,149.2,45-7
703926.22,3558490.5,900.08,149.2,45-7
703926.22,3558490.48,899.15,149.3,45-7
703926.21,3558490.46,898.22,149.4,45-7
703926.21,3558490.44,897.29,149.4,45-7
703926.21,3558490.41,896.36,149.5,45-7
703926.2,3558490.39,895.43,149.6,45-7
703926.2,3558490.37,894.5,149.6,45-7
703926.2,3558490.35,893.57,149.7,45-7
703926.19,3558490.32,892.64,149.7,45-7
703926.19,3558490.3,891.71,149.8,45-7
703926.19,3558490.28,890.78,149.9,45-7
703926.19,3558490.25,889.85,149.9,45-7
703926.19,3558490.23,888.92,150.0,45-7
703926.19,3558490.21,887.99,150.0,45-7
703926.18,3558490.18,887.06,150.1,45-7
703926.18,3558490.16,886.13,150.2,45-7
703926.18,3558490.13,885.2,150.2,45-7
703926.19,3558490.11,884.27,150.3,45-7
703926.19,3558490.09,883.34,150.3,45-7
703926.19,3558490.06,882.41,150.4,45-7
703926.19,3558490.04,881.48,150.4,45-7
703926.19,3558490.01,880.55,150.5,45-7
703926.19,3558489.99,879.62,150.5,45-7
703926.19,3558489.97,878.69,150.5,45-7
703926.2,3558489.94,877.76,150.6,45-7
703926.2,3558489.92,876.83,150.6,45-7
703926.2,3558489.89,875.91,150.7,45-7
703926.2,3558489.87,874.98,150.7,45-7
703926.2,3558489.84,874.05,150.8,45-7
703926.2,3558489.82,873.12,150.8,45-7
703926.21,3558489.79,872.19,150.9,45-7
703926.21,3558489.77,871.26,150.9,45-7
703926.21,3558489.74,870.33,151.0,45-7
703926.21,3558489.72,869.4,151.0,45-7
703926.21,3558489.69,868.47,151.1,45-7
703926.22,3558489.67,867.55,151.1,45-7
703926.22,3558489.64,866.62,151.2,45-7
703926.22,3558489.62,865.69,151.2,45-7
703926.22,3558489.59,864.76,151.3,45-7
703926.22,3558489.57,863.83,151.3,45-7
703926.22,3558489.54,862.9,151.4,45-7
703926.23,3558489.52,861.97,151.4,45-7
703926.23,3558489.49,861.04,151.4,45-7
703926.23,3558489.47,860.11,151.5,45-7
703926.23,3558489.44,859.18,151.5,45-7
703926.23,3558489.42,858.25,151.6,45-7
703926.23,3558489.39,857.32,151.6,45-7
703926.24,3558489.37,856.39,151.6,45-7
703926.24,3558489.34,855.46,151.7,45-7
703926.24,3558489.32,854.53,151.7,45-7
703926.24,3558489.29,853.6,151.7,45-7
703926.24,3558489.26,852.67,151.8,45-7
703926.25,3558489.24,851.74,151.8,45-7
703926.25,3558489.21,850.81,151.8,45-7
703926.25,3558489.19,849.88,151.8,45-7
703926.25,3558489.16,848.96,151.9,45-7
703926.25,3558489.14,848.03,151.9,45-7
703926.25,3558489.11,847.1,151.9,45-7
703926.26,3558489.08,846.17,151.9,45-7
703926.26,3558489.06,845.24,151.9,45-7
703926.26,3558489.03,844.31,152.0,45-7
703926.26,3558489.01,843.38,152.0,45-7
703926.26,3558488.98,842.45,152.0,45-7
703926.27,3558488.95,841.52,152.0,45-7
703926.27,3558488.93,840.59,152.1,45-7
703926.27,3558488.9,839.66,152.1,45-7
703926.27,3558488.87,838.73,152.1,45-7
703926.27,3558488.85,837.8,152.1,45-7
703926.27,3558488.82,836.87,152.2,45-7
703926.28,3558488.79,835.94,152.2,45-7
703926.28,3558488.77,835.01,152.2,45-7
703926.28,3558488.74,834.08,152.3,45-7
703926.28,3558488.72,833.15,152.3,45-7
703926.28,3558488.69,832.22,152.3,45-7
703926.29,3558488.66,831.29,152.4,45-7
703926.29,3558488.64,830.36,152.4,45-7
703926.29,3558488.61,829.43,152.4,45-7
703926.29,3558488.58,828.5,152.5,45-7
703926.29,3558488.55,827.57,152.5,45-7
703926.29,3558488.53,826.64,152.5,45-7
703926.3,3558488.5,825.71,152.6,45-7
703926.3,3558488.47,824.79,152.6,45-7
703926.3,3558488.45,823.86,152.6,45-7
703926.3,3558488.42,822.93,152.7,45-7
703926.3,3558488.39,822.0,152.7,45-7
703926.31,3558488.37,821.07,152.7,45-7
703926.31,3558488.34,820.14,152.8,45-7
703926.31,3558488.31,819.21,152.8,45-7
703926.31,3558488.28,818.28,152.8,45-7
703926.31,3558488.26,817.35,152.9,45-7
703926.32,3558488.23,816.42,152.9,45-7
703926.32,3558488.2,815.49,153.0,45-7
703926.32,3558488.17,814.56,153.0,45-7
703926.32,3558488.15,813.63,153.0,45-7
703926.32,3558488.12,812.7,153.1,45-7
703926.33,3558488.09,811.77,153.1,45-7
703926.33,3558488.06,810.84,153.1,45-7
703926.33,3558488.04,809.91,153.2,45-7
703926.33,3558488.01,808.98,153.2,45-7
703926.33,3558487.98,808.05,153.2,45-7
703926.34,3558487.95,807.12,153.2,45-7
703926.34,3558487.93,806.19,153.3,45-7
703926.34,3558487.9,805.26,153.3,45-7
703926.34,3558487.87,804.33,153.3,45-7
703926.34,3558487.84,803.4,153.3,45-7
703926.34,3558487.81,802.47,153.3,45-7
703926.35,3558487.79,801.55,153.4,45-7
703926.35,3558487.76,800.62,153.4,45-7
703926.35,3558487.73,799.69,153.4,45-7
703926.35,3558487.7,798.76,153.5,45-7
703926.35,3558487.67,797.83,153.5,45-7
703926.36,3558487.64,796.9,153.5,45-7
703926.36,3558487.62,795.97,153.5,45-7
703926.36,3558487.59,795.04,153.6,45-7
703926.36,3558487.56,794.11,153.6,45-7
703926.36,3558487.53,793.18,153.6,45-7
703926.37,3558487.5,792.25,153.6,45-7
703926.37,3558487.47,791.32,153.7,45-7
703926.37,3558487.44,790.39,153.7,45-7
703926.37,3558487.41,789.46,153.7,45-7
703926.37,3558487.38,788.53,153.7,45-7
703926.38,3558487.35,787.6,153.7,45-7
703926.38,3558487.32,786.67,153.7,45-7
703926.38,3558487.29,785.74,153.8,45-7
703926.38,3558487.26,784.81,153.8,45-7
703926.38,3558487.23,783.88,153.8,45-7
703926.38,3558487.2,782.95,153.8,45-7
703926.39,3558487.17,782.02,153.8,45-7
703926.39,3558487.14,781.1,153.8,45-7
703926.39,3558487.11,780.17,153.8,45-7
703926.39,3558487.08,779.24,153.8,45-7
703926.39,3558487.05,778.31,153.8,45-7
703926.39,3558487.01,777.38,153.8,45-7
703926.4,3558486.98,776.45,153.9,45-7
703926.4,3558486.95,775.53,153.9,45-7
703926.4,3558486.92,774.6,153.9,45-7
703926.4,3558486.89,773.67,153.9,45-7
703926.4,3558486.85,772.74,153.9,45-7
703926.4,3558486.82,771.81,153.9,45-7
703926.4,3558486.79,770.88,153.9,45-7
703926.41,3558486.76,769.95,153.9,45-7
703926.41,3558486.72,769.02,153.9,45-7
703926.41,3558486.69,768.09,153.9,45-7
703926.41,3558486.66,767.16,153.9,45-7
703926.41,3558486.62,766.23,153.9,45-7
703926.41,3558486.59,765.31,153.9,45-7
703926.41,3558486.55,764.38,154.0,45-7
703926.42,3558486.52,763.45,154.0,45-7
703926.42,3558486.49,762.52,154.0,45-7
703926.42,3558486.45,761.59,154.0,45-7
703926.42,3558486.42,760.66,154.0,45-7
703926.42,3558486.38,759.73,154.0,45-7
703926.42,3558486.35,758.8,154.0,45-7
703926.42,3558486.31,757.87,154.0,45-7
703926.42,3558486.28,756.94,154.1,45-7
703926.42,3558486.24,756.01,154.1,45-7
703926.43,3558486.21,755.08,154.1,45-7
703926.43,3558486.17,754.15,154.1,45-7
703926.43,3558486.13,753.22,154.1,45-7
703926.43,3558486.1,752.29,154.1,45-7
703926.43,3558486.06,751.37,154.1,45-7
703926.43,3558486.02,750.44,154.1,45-7
703926.43,3558485.99,749.51,154.1,45-7
703926.43,3558485.95,748.58,154.2,45-7
703926.43,3558485.91,747.65,154.2,45-7
703926.43,3558485.88,746.72,154.2,45-7
703926.44,3558485.84,745.79,154.2,45-7
703926.44,3558485.8,744.86,154.2,45-7
703926.44,3558485.76,743.93,154.2,45-7
703926.44,3558485.73,743.0,154.2,45-7
703926.44,3558485.69,742.07,154.2,45-7
703926.44,3558485.65,741.14,154.2,45-7
703926.44,3558485.61,740.21,154.3,45-7
703926.44,3558485.57,739.28,154.3,45-7
703926.44,3558485.54,738.36,154.3,45-7
703926.44,3558485.5,737.43,154.3,45-7
703926.44,3558485.46,736.5,154.3,45-7
703926.44,3558485.42,735.57,154.3,45-7
703926.44,3558485.38,734.64,154.3,45-7
703926.45,3558485.34,733.71,154.3,45-7
